Helper,product_type,sa_name,Rank,MP,completeness_weight,correctness_weight,normalization_weight,PT Scope,ASCS PT excluded,ASCS All excluded,Excluded,IDQ program PT overlap,IDQ program PT+Attribute overlap
AIR_CONDITIONER-mist_function,AIR_CONDITIONER,mist_function,50,1,2,2,2,1,0,0,0,1,0
AIR_CONDITIONER-fresh_air_vent,AIR_CONDITIONER,fresh_air_vent,51,1,2,2,2,1,0,0,0,1,0
AIR_CONDITIONER-motorized_louvre,AIR_CONDITIONER,motorized_louvre,52,1,2,2,2,1,0,0,0,1,0
AIR_CONDITIONER-anti_mildew_filter,AIR_CONDITIONER,anti_mildew_filter,53,1,2,2,2,1,0,0,0,1,0
AIR_CONDITIONER-anti_bacterial_filter,AIR_CONDITIONER,anti_bacterial_filter,54,1,2,2,2,1,0,0,0,1,0
AIR_CONDITIONER-has_dual_inverter_compressor,AIR_CONDITIONER,has_dual_inverter_compressor,55,1,2,2,2,1,0,0,0,1,0
AIR_CONDITIONER-has_air_ionizer,AIR_CONDITIONER,has_air_ionizer,56,1,2,2,2,1,0,0,0,1,0
AIR_CONDITIONER-coolant_leakage_detector,AIR_CONDITIONER,coolant_leakage_detector,57,1,2,2,2,1,0,0,0,1,0
AIR_CONDITIONER-fan_only_mode,AIR_CONDITIONER,fan_only_mode,58,1,2,2,2,1,0,0,0,1,0
AIR_CONDITIONER-has_turbo_mode,AIR_CONDITIONER,has_turbo_mode,59,1,2,2,2,1,0,0,0,1,0
AIR_CONDITIONER-has_photocatalytic_filter,AIR_CONDITIONER,has_photocatalytic_filter,60,1,2,2,2,1,0,0,0,1,0
AIR_CONDITIONER-ducted_unit,AIR_CONDITIONER,ducted_unit,61,1,2,2,2,1,0,0,0,1,0
AIR_CONDITIONER-fresh_air_intake,AIR_CONDITIONER,fresh_air_intake,62,1,2,2,2,1,0,0,0,1,0
AIR_CONDITIONER-has_occupancy_sensor,AIR_CONDITIONER,has_occupancy_sensor,63,1,2,2,2,1,0,0,0,1,0
AIR_CONDITIONER-has_smell_reduction,AIR_CONDITIONER,has_smell_reduction,64,1,2,2,2,1,0,0,0,1,0
AIR_CONDITIONER-swing_louvers,AIR_CONDITIONER,swing_louvers,65,1,2,2,2,1,0,0,0,1,0
AIR_CONDITIONER-has_auto_swing,AIR_CONDITIONER,has_auto_swing,66,1,2,2,2,1,0,0,0,1,0
AIR_CONDITIONER-has_away_mode,AIR_CONDITIONER,has_away_mode,67,1,2,2,2,1,0,0,0,1,0
AIR_CONDITIONER-has_dual_zone_control,AIR_CONDITIONER,has_dual_zone_control,68,1,2,2,2,1,0,0,0,1,0
AIR_CONDITIONER-window_kit,AIR_CONDITIONER,window_kit,69,1,1,1,1,1,0,0,0,1,0
AIR_CONDITIONER-has_triple_filtration,AIR_CONDITIONER,has_triple_filtration,70,1,1,1,1,1,0,0,0,1,0
AIR_CONDITIONER-dehumidification_capability,AIR_CONDITIONER,dehumidification_capability,71,1,1,1,1,1,0,0,0,1,0
AIR_CONDITIONER-has_air_purification,AIR_CONDITIONER,has_air_purification,72,1,1,1,1,1,0,0,0,1,0
AIR_CONDITIONER-has_vertical_swing,AIR_CONDITIONER,has_vertical_swing,73,1,1,1,1,1,0,0,0,1,0
AIR_CONDITIONER-has_intelligent_defrosting,AIR_CONDITIONER,has_intelligent_defrosting,74,1,1,1,1,1,0,0,0,1,0
AIR_CONDITIONER-has_intelligent_eye,AIR_CONDITIONER,has_intelligent_eye,75,1,1,1,1,1,0,0,0,1,0
AIR_CONDITIONER-has_rust_proof_cabinet,AIR_CONDITIONER,has_rust_proof_cabinet,76,1,1,1,1,1,0,0,0,1,0
AIR_CONDITIONER-has_electrostatic_filter,AIR_CONDITIONER,has_electrostatic_filter,77,1,1,1,1,1,0,0,0,1,0
AIR_CONDITIONER-has_variable_speed_dual_rotary_compressor,AIR_CONDITIONER,has_variable_speed_dual_rotary_compressor,78,1,1,1,1,1,0,0,0,1,0
AIR_CONDITIONER-is_dual_hose,AIR_CONDITIONER,is_dual_hose,62955312,1,1,1,1,1,0,0,0,1,0
AIR_CONDITIONER-has_mosquito_away,AIR_CONDITIONER,has_mosquito_away,242416032,1,1,1,1,1,0,0,0,1,0
AIR_CONDITIONER-has_silent_sleep_mode,AIR_CONDITIONER,has_silent_sleep_mode,257113408,1,1,1,1,1,0,0,0,1,0
AIR_CONDITIONER-has_cold_plasma,AIR_CONDITIONER,has_cold_plasma,273115606,1,1,1,1,1,0,0,0,1,0
AIR_CONDITIONER-louver_oscillation,AIR_CONDITIONER,louver_oscillation,515363745,1,1,1,1,1,0,0,0,1,0
AIR_CONDITIONER-has_pre_charged_refrigerant,AIR_CONDITIONER,has_pre_charged_refrigerant,627709588,1,1,1,1,1,0,0,0,1,0
AIR_CONDITIONER-alert_indicators,AIR_CONDITIONER,alert_indicators,706187400,1,1,1,1,1,0,0,0,1,0
AIR_CONDITIONER-tip_over_switch,AIR_CONDITIONER,tip_over_switch,712979784,1,1,1,1,1,0,0,0,1,0
AIR_CONDITIONER-split_system,AIR_CONDITIONER,split_system,733961347,1,1,1,1,1,0,0,0,1,0
AIR_CONDITIONER-is_ceiling_cassette,AIR_CONDITIONER,is_ceiling_cassette,793859952,1,1,1,1,1,0,0,0,1,0
AIR_COOLER-brand,AIR_COOLER,brand,1,1,8,8,8,1,0,1,1,1,0
AIR_COOLER-material,AIR_COOLER,material,2,1,8,8,8,1,0,0,0,1,1
AIR_COOLER-mounting_type,AIR_COOLER,mounting_type,3,1,8,8,8,1,0,0,0,1,0
AIR_COOLER-special_feature,AIR_COOLER,special_feature,4,1,8,8,8,1,0,0,0,1,0
