product_type,attributes,Stream,cum_weightage,sa_name,completeness_weight,UMP,Seller - Required vs Optional
STRING_LIGHT,indoor_outdoor_usage,"'FAQ', 'Customer_Search'",0.4,indoor_outdoor_usage,8,UMP,Optional
PUZZLES,age_range_description,"'FAQ', 'Customer_Search'",0.4,age_range_description,4,mac,Optional
STRING_LIGHT,connectivity_technology,"'Refinement', 'Customer_Search'",0.4,connectivity_technology,4,UMP,Optional
HERB,brand,"'FAQ', 'Customer_Search'",0.4,brand,8,UMP,Required
PUZZLES,brand,"'FAQ', 'Customer_Search'",0.4,brand,8,UMP,Required
SKIN_MOISTURIZER,special_ingredients,"'FAQ', 'Customer_Search'",0.4,special_ingredients,4,UMP,Optional
ELECTRONIC_CABLE,cable_length,"'Refinement', 'Customer_Search'",0.4,,,,
ELECTRONIC_CABLE,cable_type,"'Refinement', 'Customer_Search'",0.4,,,,
ELECTRONIC_CABLE,compatible_devices,"'FAQ', 'Customer_Search'",0.4,compatible_devices,8,rac,Optional
ELECTRONIC_CABLE,connector_type,"'FAQ', 'Customer_Search'",0.4,connector_type,8,rac,Required
PUZZLES,material,"'FAQ', 'Customer_Search'",0.4,material,4,rac,Required
SKIN_MOISTURIZER,product_benefit,"'Refinement', 'Customer_Search'",0.4,product_benefit,4,rac,Required
PUZZLES,puzzle_type,"'FAQ', 'Customer_Search'",0.4,puzzle_type,8,UMP,Optional
SCREEN_PROTECTOR,brand,"'FAQ', 'Customer_Search'",0.4,brand,8,UMP,Required
SKIN_MOISTURIZER,active_ingredients,"'Refinement', 'FAQ'",0.4,active_ingredients,8,UMP,Optional
HEADPHONES,headphones_form_factor,"'Refinement', 'Customer_Search'",0.4,headphones_form_factor,8,rac,Required
SCREEN_PROTECTOR,compatible_devices,"'FAQ', 'Customer_Search'",0.4,compatible_devices,8,rac,Required
SKIN_CLEANING_AGENT,unit_count,"'Refinement', 'FAQ'",0.4,unit_count,4,UMP,Required
SKIN_CLEANING_AGENT,target_gender,"'FAQ', 'Customer_Search'",0.4,target_gender,8,rac,Optional
FOOD_STORAGE_CONTAINER,closure_type,"'Refinement', 'FAQ'",0.4,,,,
SKIN_CLEANING_AGENT,special_ingredients,"'Refinement', 'FAQ'",0.4,special_ingredients,4,UMP,Optional
SKIN_CLEANING_AGENT,special_feature,"'Refinement', 'FAQ'",0.4,special_feature,4,UMP,Optional
FOOD_STORAGE_CONTAINER,container_type,"'Refinement', 'Customer_Search'",0.4,,,,
FOOD_STORAGE_CONTAINER,item_length_width_height,"'FAQ', 'Customer_Search'",0.4,item_length_width_height,4,UMP,Required
FOOD_STORAGE_CONTAINER,material,"'Refinement', 'Customer_Search'",0.4,material,8,rac,Required
CELLULAR_PHONE_CASE,color,"'Refinement', 'FAQ'",0.4,color,8,rac,Required
TOWEL,brand,'DPMO',0.4,brand,8,UMP,Required
HAIR_STYLING_AGENT,scent,"'FAQ', 'Customer_Search'",0.4,scent,4,UMP,Required
BOTTLE,capacity,"'FAQ', 'Customer_Search'",0.4,capacity,8,rac,Required
PANTS,bottoms_size,"'FAQ', 'Customer_Search'",0.4,bottoms_size,8,UMP,Required
PESTICIDE,active_ingredients,"'FAQ', 'Customer_Search'",0.4,active_ingredients,4,UMP,Optional
PESTICIDE,item_form,"'FAQ', 'Customer_Search'",0.4,item_form,8,rac,Required
TOY_FIGURE,material,"'Refinement', 'FAQ'",0.4,material,8,rac,Required
LIGHT_BULB,color_temperature,"'Refinement', 'FAQ'",0.4,color_temperature,4,rac,Optional
BOTTLE,bottle_type,"'FAQ', 'Customer_Search'",0.4,bottle_type,8,UMP,Optional
BALLOON,color,"'Refinement', 'Customer_Search'",0.4,color,8,rac,Required
PERSONAL_FRAGRANCE,fragrance_concentration,"'FAQ', 'Customer_Search'",0.4,fragrance_concentration,4,UMP,Optional
BOTTLE,care_instructions,"'Refinement', 'FAQ'",0.4,care_instructions,4,UMP,Optional
WALLET,care_instructions,"'Refinement', 'FAQ'",0.4,care_instructions,4,UMP,Optional
BALLOON,item_dimensions,"'FAQ', 'Customer_Search'",0.4,item_dimensions,4,UMP,Required
BOTTLE,color,"'Refinement', 'FAQ'",0.4,color,8,rac,Required
LIGHT_BULB,bulb_shape_size,"'Refinement', 'FAQ'",0.4,,,,
LIGHT_BULB,brightness,"'Refinement', 'FAQ'",0.4,brightness,4,UMP,Optional
BED_LINEN_SET,style,"'Refinement', 'FAQ'",0.4,style,4,rac,Required
BALLOON,material,"'Refinement', 'Customer_Search'",0.4,material,4,rac,Required
BLANK_BOOK,style,"'Refinement', 'Customer_Search'",0.4,style,4,UMP,Required
WALLET,brand,"'FAQ', 'Customer_Search'",0.4,brand,8,UMP,Required
